Div,Team,ELO,Goals scored,Goals conceded,Goals difference,Points,Change in ELO,Opposition mean ELO,Shots on target attempted,Shots on target allows,Shots attemped,Shots allowed,Corners awarded,Corners allowed,Fouls commited,Fouls suffered,Yellow cards,Red cards
E0,Man United,1614.352197312539,9.0,7.0,2.0,7,25.819412816119893,1615.9215661387193,21.0,20.0,54.0,54.0,12.0,30.0,54.0,53.0,6.0,0.0
E0,Ipswich,1433.3856137279904,4.0,6.0,-2.0,4,20.061672122278196,1541.3261584327297,21.0,24.0,55.0,74.0,24.0,38.0,59.0,54.0,9.0,0.0
E0,Arsenal,1783.638139905103,11.0,3.0,8.0,11,-11.85608467504494,1562.9115640607415,29.0,9.0,74.0,28.0,45.0,5.0,50.0,38.0,7.0,0.0
E0,Everton,1526.3466287433664,4.0,4.0,0.0,6,11.85608467504494,1591.1963205817935,15.0,20.0,68.0,50.0,23.0,25.0,48.0,46.0,10.0,0.0
E0,Newcastle,1618.217413693131,10.0,10.0,0.0,5,7.0401780795327795,1570.912378206143,22.0,24.0,79.0,62.0,31.0,22.0,45.0,63.0,9.0,0.0
E0,Nott'm Forest,1579.8593046737146,6.0,9.0,-3.0,9,17.18935834787385,1654.040056798147,17.0,26.0,59.0,68.0,18.0,31.0,46.0,49.0,9.0,0.0
E0,West Ham,1546.3709066275544,8.0,10.0,-2.0,7,4.382301711373657,1581.202221771345,28.0,29.0,93.0,90.0,31.0,33.0,48.0,56.0,13.0,0.0
E0,Brentford,1547.293935239924,10.0,8.0,2.0,7,-7.065843008851516,1582.9176707779059,21.0,29.0,51.0,96.0,22.0,36.0,51.0,47.0,8.0,1.0
E0,Chelsea,1730.4779035193653,16.0,6.0,10.0,15,7.065843008851516,1517.4001690371795,44.0,18.0,102.0,42.0,37.0,21.0,69.0,52.0,7.0,1.0
E0,Leicester,1434.2739224009877,7.0,13.0,-6.0,4,-7.0401780795327795,1597.7597049005258,14.0,41.0,33.0,103.0,16.0,33.0,59.0,45.0,11.0,0.0
E0,Brighton,1576.95747272134,7.0,10.0,-3.0,5,-20.40823238570556,1492.8001154445233,24.0,17.0,74.0,58.0,26.0,28.0,59.0,60.0,9.0,1.0
E0,Crystal Palace,1569.5116475569716,9.0,6.0,3.0,9,20.40823238570556,1619.897024436383,21.0,16.0,67.0,56.0,27.0,39.0,55.0,56.0,14.0,0.0
E0,Fulham,1600.3203477647364,8.0,9.0,-1.0,6,10.42183798758083,1665.0122155619815,16.0,19.0,44.0,59.0,27.0,26.0,52.0,45.0,14.0,1.0
E0,Man City,1761.0800214158473,6.0,10.0,-4.0,4,-25.819412816119893,1615.0503747176178,21.0,23.0,70.0,61.0,37.0,20.0,49.0,51.0,10.0,1.0
E0,Southampton,1344.683950469045,4.0,15.0,-11.0,1,-8.1557222916299,1671.725282618032,14.0,43.0,36.0,111.0,17.0,43.0,57.0,76.0,12.0,1.0
E0,Tottenham,1597.3640918510266,13.0,6.0,7.0,7,8.1557222916299,1603.4643762068324,28.0,30.0,60.0,84.0,29.0,37.0,53.0,67.0,9.0,0.0
E0,Aston Villa,1621.3549044847136,7.0,8.0,-1.0,7,-17.18935834787385,1535.3886860718126,26.0,21.0,73.0,60.0,41.0,14.0,51.0,74.0,9.0,0.0
E0,Bournemouth,1585.25955613565,9.0,6.0,3.0,10,-4.382301711373657,1538.5851402624664,36.0,19.0,103.0,62.0,41.0,24.0,58.0,51.0,6.0,0.0
E0,Wolves,1433.4317198580466,8.0,13.0,-5.0,3,-20.061672122278196,1515.4222827580038,21.0,24.0,61.0,64.0,16.0,28.0,65.0,56.0,8.0,1.0
E0,Liverpool,1799.665432373119,12.0,7.0,5.0,11,-10.42183798758083,1604.138156763603,32.0,18.0,91.0,56.0,30.0,25.0,56.0,50.0,13.0,1.0
E1,Blackburn,1360.3051999000475,6.0,0.0,6.0,15,11.427632705046335,1332.5974206252235,14.0,21.0,43.0,63.0,15.0,35.0,56.0,48.0,11.0,0.0
E1,Preston,1274.7436754828086,5.0,3.0,2.0,7,5.716526794005631,1328.8781684927403,22.0,16.0,54.0,64.0,24.0,33.0,63.0,51.0,13.0,0.0
E1,Cardiff,1213.9972762392456,5.0,9.0,-4.0,3,3.947869053303293,1256.7746402429514,23.0,23.0,75.0,65.0,28.0,21.0,61.0,49.0,9.0,0.0
E1,Hull,1208.0655949914094,3.0,9.0,-6.0,1,-11.530137022313284,1307.580444436489,20.0,23.0,56.0,72.0,27.0,27.0,58.0,55.0,10.0,0.0
E1,Leeds,1443.1708408093182,9.0,3.0,6.0,10,-5.716526794005631,1290.9853133184893,31.0,11.0,86.0,32.0,43.0,12.0,45.0,64.0,5.0,0.0
