Category,-1,0,1,Total,-1_inv,0_inv,1_inv,-1_%,0_%,1_%,Total_%
-3.0 to -2.75,0,0,0,0,0,0,0,0,0,0,0
-2.75 to -2.5,0,0,0,0,0,0,0,0,0,0,0
-2.5 to -2.25,1,0,0,1,1.0,0,0,100.0,0.0,0.0,100.0
-2.25 to -2.0,2,0,0,2,1.0,0,0,100.0,0.0,0.0,100.0
-2.0 to -1.75,3,1,0,4,1.3333333333333333,4.0,0,75.0,25.0,0.0,100.0
-1.75 to -1.5,4,0,0,4,1.0,0,0,100.0,0.0,0.0,100.0
-1.5 to -1.25,6,1,1,8,1.3333333333333333,8.0,8.0,75.0,12.5,12.5,100.0
-1.25 to -1.0,9,3,1,13,1.4444444444444444,4.333333333333333,13.0,69.23076923076923,23.076923076923077,7.6923076923076925,100.0
-1.0 to -0.75,14,5,2,21,1.5,4.2,10.5,66.66666666666666,23.809523809523807,9.523809523809524,100.0
-0.75 to -0.5,22,6,16,44,2.0,7.333333333333333,2.75,50.0,13.636363636363635,36.36363636363637,100.0
-0.5 to -0.25,28,19,16,63,2.25,3.3157894736842106,3.9375,44.44444444444444,30.158730158730158,25.396825396825395,100.0
-0.25 to 0.0,38,19,28,85,2.236842105263158,4.473684210526316,3.0357142857142856,44.70588235294118,22.35294117647059,32.94117647058823,100.0
0.0 to 0.25,45,33,46,124,2.7555555555555555,3.757575757575758,2.6956521739130435,36.29032258064516,26.61290322580645,37.096774193548384,100.0
0.25 to 0.5,58,43,62,163,2.810344827586207,3.7906976744186047,2.629032258064516,35.58282208588957,26.380368098159508,38.036809815950924,100.0
0.5 to 0.75,36,39,84,159,4.416666666666667,4.076923076923077,1.8928571428571428,22.641509433962266,24.528301886792452,52.83018867924528,100.0
0.75 to 1.0,22,39,57,118,5.363636363636363,3.0256410256410255,2.0701754385964914,18.64406779661017,33.05084745762712,48.30508474576271,100.0
1.0 to 1.25,24,20,42,86,3.5833333333333335,4.3,2.0476190476190474,27.906976744186046,23.25581395348837,48.837209302325576,100.0
1.25 to 1.5,7,16,37,60,8.571428571428571,3.75,1.6216216216216217,11.666666666666666,26.666666666666668,61.66666666666667,100.0
1.5 to 1.75,6,9,25,40,6.666666666666667,4.444444444444445,1.6,15.0,22.5,62.5,100.0
1.75 to 2.0,7,10,46,63,9.0,6.3,1.3695652173913044,11.11111111111111,15.873015873015872,73.01587301587301,100.0
2.0 to 2.25,4,3,22,29,7.25,9.666666666666666,1.3181818181818181,13.793103448275861,10.344827586206897,75.86206896551724,100.0
2.25 to 2.5,0,3,13,16,0,5.333333333333333,1.2307692307692308,0.0,18.75,81.25,100.0
2.5 to 2.75,0,1,12,13,0,13.0,1.0833333333333333,0.0,7.6923076923076925,92.3076923076923,100.0
2.75 to 3.0,1,0,5,6,6.0,0,1.2,16.666666666666664,0.0,83.33333333333334,100.0
3.0 to inf,0,1,3,4,0,4.0,1.3333333333333333,0.0,25.0,75.0,100.0
inf to -inf,0,1,2,3,0,3.0,1.5,0.0,33.33333333333333,66.66666666666666,100.0
