Category,-1,0,1,Total,-1_inv,0_inv,1_inv,-1_%,0_%,1_%,Total_%
-3.0 to -2.75,0,0,0,0,0,0,0,0,0,0,0
-2.75 to -2.5,0,0,0,0,0,0,0,0,0,0,0
-2.5 to -2.25,0,0,0,0,0,0,0,0,0,0,0
-2.25 to -2.0,0,0,0,0,0,0,0,0,0,0,0
-2.0 to -1.75,0,0,0,0,0,0,0,0,0,0,0
-1.75 to -1.5,0,0,0,0,0,0,0,0,0,0,0
-1.5 to -1.25,0,0,0,0,0,0,0,0,0,0,0
-1.25 to -1.0,3,0,0,3,1.0,0,0,100.0,0.0,0.0,100.0
-1.0 to -0.75,2,0,0,2,1.0,0,0,100.0,0.0,0.0,100.0
-0.75 to -0.5,7,4,6,17,2.4285714285714284,4.25,2.8333333333333335,41.17647058823529,23.52941176470588,35.294117647058826,100.0
-0.5 to -0.25,25,17,19,61,2.44,3.588235294117647,3.210526315789474,40.98360655737705,27.86885245901639,31.147540983606557,100.0
-0.25 to 0.0,65,61,74,200,3.076923076923077,3.278688524590164,2.7027027027027026,32.5,30.5,37.0,100.0
0.0 to 0.25,141,101,129,371,2.631205673758865,3.6732673267326734,2.875968992248062,38.00539083557952,27.22371967654987,34.77088948787062,100.0
0.25 to 0.5,167,114,172,453,2.712574850299401,3.973684210526316,2.633720930232558,36.86534216335541,25.165562913907287,37.969094922737305,100.0
0.5 to 0.75,121,130,197,448,3.7024793388429753,3.4461538461538463,2.2741116751269037,27.00892857142857,29.017857142857146,43.973214285714285,100.0
0.75 to 1.0,85,97,147,329,3.8705882352941177,3.3917525773195876,2.238095238095238,25.835866261398177,29.48328267477204,44.680851063829785,100.0
1.0 to 1.25,35,46,82,163,4.6571428571428575,3.5434782608695654,1.9878048780487805,21.472392638036812,28.22085889570552,50.306748466257666,100.0
1.25 to 1.5,8,21,26,55,6.875,2.619047619047619,2.1153846153846154,14.545454545454545,38.18181818181819,47.27272727272727,100.0
1.5 to 1.75,2,10,11,23,11.5,2.3,2.090909090909091,8.695652173913043,43.47826086956522,47.82608695652174,100.0
1.75 to 2.0,1,1,3,5,5.0,5.0,1.6666666666666667,20.0,20.0,60.0,100.0
2.0 to 2.25,1,0,0,1,1.0,0,0,100.0,0.0,0.0,100.0
2.25 to 2.5,0,0,0,0,0,0,0,0,0,0,0
2.5 to 2.75,0,0,0,0,0,0,0,0,0,0,0
2.75 to 3.0,0,0,0,0,0,0,0,0,0,0,0
3.0 to inf,0,0,0,0,0,0,0,0,0,0,0
inf to -inf,0,0,0,0,0,0,0,0,0,0,0
