Category,-1,0,1,Total,-1_inv,0_inv,1_inv,-1_%,0_%,1_%,Total_%
-3.0 to -2.75,0,0,0,0,0,0,0,0,0,0,0
-2.75 to -2.5,0,0,0,0,0,0,0,0,0,0,0
-2.5 to -2.25,0,0,0,0,0,0,0,0,0,0,0
-2.25 to -2.0,0,0,0,0,0,0,0,0,0,0,0
-2.0 to -1.75,3,0,0,3,1.0,0,0,100.0,0.0,0.0,100.0
-1.75 to -1.5,0,1,0,1,0,1.0,0,0.0,100.0,0.0,100.0
-1.5 to -1.25,3,2,0,5,1.6666666666666667,2.5,0,60.0,40.0,0.0,100.0
-1.25 to -1.0,6,3,2,11,1.8333333333333333,3.6666666666666665,5.5,54.54545454545454,27.27272727272727,18.181818181818183,100.0
-1.0 to -0.75,9,3,3,15,1.6666666666666667,5.0,5.0,60.0,20.0,20.0,100.0
-0.75 to -0.5,11,12,5,28,2.5454545454545454,2.3333333333333335,5.6,39.285714285714285,42.857142857142854,17.857142857142858,100.0
-0.5 to -0.25,38,18,15,71,1.868421052631579,3.9444444444444446,4.733333333333333,53.52112676056338,25.352112676056336,21.12676056338028,100.0
-0.25 to 0.0,41,32,35,108,2.6341463414634148,3.375,3.085714285714286,37.96296296296296,29.629629629629626,32.407407407407405,100.0
0.0 to 0.25,34,39,33,106,3.1176470588235294,2.717948717948718,3.212121212121212,32.075471698113205,36.79245283018868,31.132075471698112,100.0
0.25 to 0.5,49,51,61,161,3.2857142857142856,3.156862745098039,2.639344262295082,30.434782608695656,31.67701863354037,37.88819875776397,100.0
0.5 to 0.75,56,75,118,249,4.446428571428571,3.32,2.110169491525424,22.48995983935743,30.120481927710845,47.389558232931726,100.0
0.75 to 1.0,59,72,96,227,3.847457627118644,3.1527777777777777,2.3645833333333335,25.991189427312776,31.718061674008812,42.290748898678416,100.0
1.0 to 1.25,25,33,69,127,5.08,3.8484848484848486,1.8405797101449275,19.68503937007874,25.984251968503933,54.330708661417326,100.0
1.25 to 1.5,19,14,42,75,3.9473684210526314,5.357142857142857,1.7857142857142858,25.333333333333336,18.666666666666668,56.00000000000001,100.0
1.5 to 1.75,10,10,9,29,2.9,2.9,3.2222222222222223,34.48275862068966,34.48275862068966,31.03448275862069,100.0
1.75 to 2.0,0,3,14,17,0,5.666666666666667,1.2142857142857142,0.0,17.647058823529413,82.35294117647058,100.0
2.0 to 2.25,2,4,12,18,9.0,4.5,1.5,11.11111111111111,22.22222222222222,66.66666666666666,100.0
2.25 to 2.5,2,2,10,14,7.0,7.0,1.4,14.285714285714285,14.285714285714285,71.42857142857143,100.0
2.5 to 2.75,1,1,7,9,9.0,9.0,1.2857142857142858,11.11111111111111,11.11111111111111,77.77777777777779,100.0
2.75 to 3.0,0,0,5,5,0,0,1.0,0.0,0.0,100.0,100.0
3.0 to inf,0,1,1,2,0,2.0,2.0,0.0,50.0,50.0,100.0
inf to -inf,0,0,3,3,0,0,1.0,0.0,0.0,100.0,100.0
