Category,-1,0,1,Total,-1_inv,0_inv,1_inv,-1_%,0_%,1_%,Total_%
-3.0 to -2.75,0,0,0,0,0,0,0,0,0,0,0
-2.75 to -2.5,0,0,0,0,0,0,0,0,0,0,0
-2.5 to -2.25,0,0,0,0,0,0,0,0,0,0,0
-2.25 to -2.0,0,0,0,0,0,0,0,0,0,0,0
-2.0 to -1.75,0,0,0,0,0,0,0,0,0,0,0
-1.75 to -1.5,4,1,1,6,1.5,6.0,6.0,66.66666666666666,16.666666666666664,16.666666666666664,100.0
-1.5 to -1.25,13,3,3,19,1.4615384615384615,6.333333333333333,6.333333333333333,68.42105263157895,15.789473684210526,15.789473684210526,100.0
-1.25 to -1.0,18,5,6,29,1.6111111111111112,5.8,4.833333333333333,62.06896551724138,17.24137931034483,20.689655172413794,100.0
-1.0 to -0.75,31,13,5,49,1.5806451612903225,3.769230769230769,9.8,63.26530612244898,26.53061224489796,10.204081632653061,100.0
-0.75 to -0.5,40,16,18,74,1.85,4.625,4.111111111111111,54.054054054054056,21.62162162162162,24.324324324324326,100.0
-0.5 to -0.25,38,31,20,89,2.3421052631578947,2.870967741935484,4.45,42.69662921348314,34.831460674157306,22.47191011235955,100.0
-0.25 to 0.0,38,27,27,92,2.4210526315789473,3.4074074074074074,3.4074074074074074,41.30434782608695,29.347826086956523,29.347826086956523,100.0
0.0 to 0.25,36,34,39,109,3.0277777777777777,3.2058823529411766,2.7948717948717947,33.02752293577982,31.19266055045872,35.77981651376147,100.0
0.25 to 0.5,59,37,81,177,3.0,4.783783783783784,2.185185185185185,33.33333333333333,20.903954802259886,45.76271186440678,100.0
0.5 to 0.75,54,61,88,203,3.759259259259259,3.3278688524590163,2.3068181818181817,26.60098522167488,30.049261083743843,43.34975369458128,100.0
0.75 to 1.0,35,42,110,187,5.3428571428571425,4.4523809523809526,1.7,18.71657754010695,22.459893048128343,58.82352941176471,100.0
1.0 to 1.25,33,36,78,147,4.454545454545454,4.083333333333333,1.8846153846153846,22.448979591836736,24.489795918367346,53.06122448979592,100.0
1.25 to 1.5,15,30,68,113,7.533333333333333,3.7666666666666666,1.661764705882353,13.274336283185843,26.548672566371685,60.17699115044248,100.0
1.5 to 1.75,9,17,57,83,9.222222222222221,4.882352941176471,1.456140350877193,10.843373493975903,20.481927710843372,68.67469879518072,100.0
1.75 to 2.0,4,10,32,46,11.5,4.6,1.4375,8.695652173913043,21.73913043478261,69.56521739130434,100.0
2.0 to 2.25,7,5,24,36,5.142857142857143,7.2,1.5,19.444444444444446,13.88888888888889,66.66666666666666,100.0
2.25 to 2.5,2,3,7,12,6.0,4.0,1.7142857142857142,16.666666666666664,25.0,58.333333333333336,100.0
2.5 to 2.75,0,1,3,4,0,4.0,1.3333333333333333,0.0,25.0,75.0,100.0
2.75 to 3.0,0,0,1,1,0,0,1.0,0.0,0.0,100.0,100.0
3.0 to inf,0,0,1,1,0,0,1.0,0.0,0.0,100.0,100.0
inf to -inf,0,0,0,0,0,0,0,0,0,0,0
