Category,-1,0,1,Total,-1_inv,0_inv,1_inv,-1_%,0_%,1_%,Total_%
-3.0 to -2.75,0,0,0,0,0,0,0,0,0,0,0
-2.75 to -2.5,0,0,0,0,0,0,0,0,0,0,0
-2.5 to -2.25,1,0,0,1,1.0,0,0,100.0,0.0,0.0,100.0
-2.25 to -2.0,1,1,0,2,2.0,2.0,0,50.0,50.0,0.0,100.0
-2.0 to -1.75,3,0,0,3,1.0,0,0,100.0,0.0,0.0,100.0
-1.75 to -1.5,8,0,4,12,1.5,0,3.0,66.66666666666666,0.0,33.33333333333333,100.0
-1.5 to -1.25,6,3,2,11,1.8333333333333333,3.6666666666666665,5.5,54.54545454545454,27.27272727272727,18.181818181818183,100.0
-1.25 to -1.0,15,2,3,20,1.3333333333333333,10.0,6.666666666666667,75.0,10.0,15.0,100.0
-1.0 to -0.75,8,5,4,17,2.125,3.4,4.25,47.05882352941176,29.411764705882355,23.52941176470588,100.0
-0.75 to -0.5,5,6,5,16,3.2,2.6666666666666665,3.2,31.25,37.5,31.25,100.0
-0.5 to -0.25,9,4,4,17,1.8888888888888888,4.25,4.25,52.94117647058824,23.52941176470588,23.52941176470588,100.0
-0.25 to 0.0,5,4,5,14,2.8,3.5,2.8,35.714285714285715,28.57142857142857,35.714285714285715,100.0
0.0 to 0.25,7,8,9,24,3.4285714285714284,3.0,2.6666666666666665,29.166666666666668,33.33333333333333,37.5,100.0
0.25 to 0.5,20,13,10,43,2.15,3.3076923076923075,4.3,46.51162790697674,30.23255813953488,23.25581395348837,100.0
0.5 to 0.75,11,17,16,44,4.0,2.588235294117647,2.75,25.0,38.63636363636363,36.36363636363637,100.0
0.75 to 1.0,13,17,18,48,3.6923076923076925,2.823529411764706,2.6666666666666665,27.083333333333332,35.41666666666667,37.5,100.0
1.0 to 1.25,13,9,21,43,3.3076923076923075,4.777777777777778,2.0476190476190474,30.23255813953488,20.930232558139537,48.837209302325576,100.0
1.25 to 1.5,5,7,13,25,5.0,3.5714285714285716,1.9230769230769231,20.0,28.000000000000004,52.0,100.0
1.5 to 1.75,3,3,11,17,5.666666666666667,5.666666666666667,1.5454545454545454,17.647058823529413,17.647058823529413,64.70588235294117,100.0
1.75 to 2.0,3,3,11,17,5.666666666666667,5.666666666666667,1.5454545454545454,17.647058823529413,17.647058823529413,64.70588235294117,100.0
2.0 to 2.25,2,0,8,10,5.0,0,1.25,20.0,0.0,80.0,100.0
2.25 to 2.5,2,3,15,20,10.0,6.666666666666667,1.3333333333333333,10.0,15.0,75.0,100.0
2.5 to 2.75,0,5,14,19,0,3.8,1.3571428571428572,0.0,26.31578947368421,73.68421052631578,100.0
2.75 to 3.0,0,2,7,9,0,4.5,1.2857142857142858,0.0,22.22222222222222,77.77777777777779,100.0
3.0 to inf,1,1,6,8,8.0,8.0,1.3333333333333333,12.5,12.5,75.0,100.0
inf to -inf,0,0,4,4,0,0,1.0,0.0,0.0,100.0,100.0
