Category,-1,0,1,Total,-1_inv,0_inv,1_inv,-1_%,0_%,1_%,Total_%
-3.0 to -2.75,0,0,0,0,0,0,0,0,0,0,0
-2.75 to -2.5,1,0,0,1,1.0,0,0,100.0,0.0,0.0,100.0
-2.5 to -2.25,0,0,0,0,0,0,0,0,0,0,0
-2.25 to -2.0,1,0,0,1,1.0,0,0,100.0,0.0,0.0,100.0
-2.0 to -1.75,3,1,0,4,1.3333333333333333,4.0,0,75.0,25.0,0.0,100.0
-1.75 to -1.5,10,1,2,13,1.3,13.0,6.5,76.92307692307693,7.6923076923076925,15.384615384615385,100.0
-1.5 to -1.25,10,1,3,14,1.4,14.0,4.666666666666667,71.42857142857143,7.142857142857142,21.428571428571427,100.0
-1.25 to -1.0,9,8,3,20,2.2222222222222223,2.5,6.666666666666667,45.0,40.0,15.0,100.0
-1.0 to -0.75,11,7,1,19,1.7272727272727273,2.7142857142857144,19.0,57.89473684210527,36.84210526315789,5.263157894736842,100.0
-0.75 to -0.5,13,8,11,32,2.4615384615384617,4.0,2.909090909090909,40.625,25.0,34.375,100.0
-0.5 to -0.25,31,15,11,57,1.8387096774193548,3.8,5.181818181818182,54.385964912280706,26.31578947368421,19.298245614035086,100.0
-0.25 to 0.0,41,25,31,97,2.3658536585365852,3.88,3.129032258064516,42.2680412371134,25.773195876288657,31.958762886597935,100.0
0.0 to 0.25,44,43,51,138,3.1363636363636362,3.2093023255813953,2.7058823529411766,31.88405797101449,31.15942028985507,36.95652173913043,100.0
0.25 to 0.5,62,70,63,195,3.1451612903225805,2.7857142857142856,3.0952380952380953,31.794871794871792,35.8974358974359,32.30769230769231,100.0
0.5 to 0.75,83,57,105,245,2.9518072289156625,4.298245614035087,2.3333333333333335,33.87755102040816,23.26530612244898,42.857142857142854,100.0
0.75 to 1.0,47,49,116,212,4.51063829787234,4.326530612244898,1.8275862068965518,22.169811320754718,23.11320754716981,54.71698113207547,100.0
1.0 to 1.25,34,35,81,150,4.411764705882353,4.285714285714286,1.8518518518518519,22.666666666666664,23.333333333333332,54.0,100.0
1.25 to 1.5,17,22,42,81,4.764705882352941,3.6818181818181817,1.9285714285714286,20.98765432098765,27.160493827160494,51.85185185185185,100.0
1.5 to 1.75,10,14,34,58,5.8,4.142857142857143,1.7058823529411764,17.24137931034483,24.137931034482758,58.620689655172406,100.0
1.75 to 2.0,4,2,30,36,9.0,18.0,1.2,11.11111111111111,5.555555555555555,83.33333333333334,100.0
2.0 to 2.25,1,2,20,23,23.0,11.5,1.15,4.3478260869565215,8.695652173913043,86.95652173913044,100.0
2.25 to 2.5,0,1,23,24,0,24.0,1.0434782608695652,0.0,4.166666666666666,95.83333333333334,100.0
2.5 to 2.75,2,2,15,19,9.5,9.5,1.2666666666666666,10.526315789473683,10.526315789473683,78.94736842105263,100.0
2.75 to 3.0,1,1,13,15,15.0,15.0,1.1538461538461537,6.666666666666667,6.666666666666667,86.66666666666667,100.0
3.0 to inf,2,2,13,17,8.5,8.5,1.3076923076923077,11.76470588235294,11.76470588235294,76.47058823529412,100.0
inf to -inf,0,1,9,10,0,10.0,1.1111111111111112,0.0,10.0,90.0,100.0
